Ontario_role,Ontario_variable,cchsflow_included,variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,role,transformationType
,,yes,SMKG040,agecigdfd,Age started to smoke daily - daily/former daily smoker,Health behaviour,Smoking,Categorical,Years,,"cchs2015_2016_p, cchs2017_2018_p",[SMKG040],,
,,yes,SMKG040_cont,agecigdfd,Age started to smoke daily - daily/former daily smoker,Health behaviour,Smoking,Continuous,Years,,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","DerivedVar::[SMKG203_cont, SMKG207_cont], [SMKG040]",,
,,yes,SMKG06C,stpny,Years since stopped smoking daily - never daily,Health behaviour,Smoking,Categorical,Years,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::SMKCG06C, cchs2005_p::SMKEG06C, cchs2009_s::SMK_06C, cchs2010_s::SMK_06C, cchs2012_s::SMK_06C, [SMKG06C]",,
,,yes,SMKG09C,stpdy,Years since stopped smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,Yes,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i,  cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, cchs2009_s::SMK_09C, cchs2010_s::SMK_09C, cchs2012_s::SMK_09C, cchs2003_i::SMKC_09C, cchs2005_i::SMKE_09C, cchs2015_2016_i::SMK_090, cchs2017_2018_i::SMK_090, [SMKG09C]",,
,,yes,SMKG203_A,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Categorical,Years,Yes,"cchs2001_p, cchs2003_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2001_i::SMKAG203, cchs2003_i::SMKC_203, cchs2005_i::SMKE_203, [SMK_203]",,
,,yes,SMKG203_B,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Categorical,Years,,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2005_p::SMKEG203, cchs2009_s::SMK_203, cchs2010_s::SMK_203, cchs2012_s::SMK_203, [SMKG203]",,
required,smkc_203,yes,SMKG203_cont,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i,  cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, cchs2009_s::SMK_203, cchs2010_s::SMK_203, cchs2012_s::SMK_203, cchs2001_i::SMKAG203, [SMKG203], DerivedVar::[SMK_005, SMKG040]",,
,,yes,SMKG207_A,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Categorical,Years,Yes,"cchs2001_p, cchs2003_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2001_i::SMKAG207, cchs2003_i::SMKC_207, cchs2005_i::SMKE_207, [SMK_207]",,
,,yes,SMKG207_B,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Categorical,Years,,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2005_p::SMKEG207, cchs2009_s::SMK_207, cchs2010_s::SMK_207, cchs2012_s::SMK_207, [SMKG207]",,
,,yes,SMKG207_cont,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, cchs2009_s::SMK_207, cchs2010_s::SMK_207, cchs2012_s::SMK_207, cchs2003_i::SMKC_207, cchs2005_i::SMKE_207, [SMKG207], DerivedVar::[SMK_030, SMKG040]",,
,,yes,pack_years_cat,Categorical PackYears,Categorical smoking pack-years,Health behaviour,Smoking,Categorical,Years,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s",DerivedVar::[pack_years_der],Derived categorical variable using pack_years_der,
,,yes,pack_years_der,PackYears,Smoking pack-years,Health behaviour,Smoking,Continuous,Years,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, time_quit_smoking, SMKG203_cont, SMKG207_cont, SMK_204, SMK_05B, SMK_208, SMK_05C, SMKG01C_cont, SMK_01A]",,
,,yes,smoke_simple,Simple smoking status,Simple smoking status,Health behaviour,Smoking,Categorical,N/A,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMKDSTY_cat5, time_quit_smoking]",,
,,yes,time_quit_smoking,Time since quit,Time since quit smoking,Health behaviour,Smoking,Continuous,Years,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMK_09A_B, SMKG09C]",,
